0,3,Juventus,Real Madrid,Allianz Stadium,4/3/2018,UEFA Champions League
1,3,Real Madrid,Juventus,Santiago Bernabéu Stadium,4/11/2018,UEFA Champions League
1,2,Bayern Munich,Real Madrid, Allianz Arena,4/25/2018,UEFA Champions League
2,2,Real Madrid,Bayern Munich,Santiago Bernabéu Stadium,5/1/2018,UEFA Champions League
4,0, Paris Saint-Germain, Barcelona,Parc des Princes,2/14/2017,UEFA Champions League
6,1,Barcelona,Paris Saint-Germain,Camp Nou,3/8/2017,UEFA Champions League
4,0,Chelsea, Manchster United, Stamford Bridge, 10/23/2016, Premier League
2,0,Manchster United,Chelsea, Old Trafford, 4/16/2017, Premier League
5,0,Manchster City,Liverpool, Etihad Stadium, 9/9/2017, Premier League
4,3,Liverpool, Manchster City,Anfield, 1/14/2018, Premier League
